"S.No","Dish / Product Name","Category","Price (₹)","MRP (₹)","Discount (%)","Unit / Serving","Kitchen Stock","Storefront Status","Menu Section Tags","Product ID","Category ID"
"1","Aaloo Masala Sandwitch","Fruits & Vegetables","70","70","0","Qty 1","999","VISIBLE (ON)","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvntew000104jx1l1oa4q6","cmqh1haw30000zcid4vj7i1yj"
"2","American cup ","Ice Cream","29","30","3","","99999","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmrubmwbl000304laafxtiuwq","cmqgzqfv70007vkider7h6e4j"
"3","Badam Pista","Ice Cream","49","50","2","110 ml","99999","HIDDEN (OFF)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfj4wg000004i9xdzx7pm6","cmqgzqfv70007vkider7h6e4j"
"4","Belgium Cone","Ice Cream","49","50","2","110 ml","0 (Sold Out)","HIDDEN (OFF)","ice-cream, desserts, as-restaurant, kulfi, cones","cmr11i5l2000204jppwayex91","cmqgzqfv70007vkider7h6e4j"
"5","Blue Lagoon Mojito","Fruits & Vegetables","80","80","0","300 ml","999","VISIBLE (ON)","mocktails, mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, restaurant","cmqhz0yci000304jufb2qkdmn","cmqh1haw30000zcid4vj7i1yj"
"6","Butter Masala Dosa","Fruits & Vegetables","75","75","0","1 Plate","999","VISIBLE (ON)","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant","cmqifvqlc000004jshcp8b9s2","cmqh1haw30000zcid4vj7i1yj"
"7","Butter Masala Paneer Dosa","Fruits & Vegetables","90","90","0","1 Plate","999","VISIBLE (ON)","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant","cmqifxp7m000104js435y9tki","cmqh1haw30000zcid4vj7i1yj"
"8","Butter Paneer Dosa","Fruits & Vegetables","110","110","0","1 Plate","999","VISIBLE (ON)","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant","cmqifzr6s000204jsul1rpd2c","cmqh1haw30000zcid4vj7i1yj"
"9","Butter Paneer Pav bhaji","Fruits & Vegetables","90","90","0","1 Plate","999","VISIBLE (ON)","pav-bhaji, pav-bhaji, pav bhaji, pavbhaji, veg, restaurant, restaurant","cmqrr3h59000004jybdt8dzx0","cmqh1haw30000zcid4vj7i1yj"
"10","Butter Paper Dosa","Fruits & Vegetables","50","50","0","1 Plate","999","VISIBLE (ON)","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant","cmqifu59o000j04l461989y9s","cmqh1haw30000zcid4vj7i1yj"
"11","Butter Pavbhaji","Fruits & Vegetables","75","75","0","1 Plate","998","VISIBLE (ON)","pav-bhaji, pav-bhaji, pav bhaji, pavbhaji, veg, restaurant, restaurant","cmqrr1vvz000004ldl3husnlc","cmqh1haw30000zcid4vj7i1yj"
"12","Butterscotch ","Ice Cream","124","125","1","700 ml","99998","HIDDEN (OFF)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg6i2s000004l5rre98dd1","cmqgzqfv70007vkider7h6e4j"
"13","Butterscotch Cone ","Ice Cream","20","20","0","","42","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmsfrg5b5000e04l1yyvl0o33","cmqgzqfv70007vkider7h6e4j"
"14","Butterscotch Shake","Fruits & Vegetables","85","85","0","300 ml","999","VISIBLE (ON)","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhzmodz000104icef59dlgf","cmqh1haw30000zcid4vj7i1yj"
"15","Capsicum Pizza","Fruits & Vegetables","109","119","8","Qty 1","998","VISIBLE (ON)","pizza, restaurant","cmqht67tu000104jmsqnu8acz","cmqh1haw30000zcid4vj7i1yj"
"16","Casata","Ice Cream","49","50","2","Qty 1","0 (Sold Out)","HIDDEN (OFF)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg1ons000104l4fz9uv424","cmqgzqfv70007vkider7h6e4j"
"17","Chappan Bhog","Ice Cream","149","160","7","700 ml","0 (Sold Out)","HIDDEN (OFF)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqvux86n000404icvt0duoax","cmqgzqfv70007vkider7h6e4j"
"18","Cheeze Baking Pasta","Fruits & Vegetables","135","135","0","1 Plate","999","VISIBLE (ON)","italian-pasta, italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, restaurant","cmqigj0ck000204l88l6148ni","cmqh1haw30000zcid4vj7i1yj"
"19","Cheeze Burger","Fruits & Vegetables","65","65","0","Qty 1","999","VISIBLE (ON)","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant","cmqhv443d000204ib5occu1ux","cmqh1haw30000zcid4vj7i1yj"
"20","Cheeze Frankie Roll","Fruits & Vegetables","85","85","0","1 Roll","999","VISIBLE (ON)","frankie-rolls, frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, restaurant","cmqj7ilwq000004l520l9p1a0","cmqh1haw30000zcid4vj7i1yj"
"21","Cheeze Garlic Bread","Fruits & Vegetables","95","95","0","Qty 1 ( 4 pcs)","999","VISIBLE (ON)","garlic-bread, garlic-bread, garlic bread, garlic-breads, veg, restaurant, restaurant","cmqhxu43w000004l8suhk40k1","cmqh1haw30000zcid4vj7i1yj"
"22","Cheeze Sandwitch","Fruits & Vegetables","85","85","0","Qty 1","999","VISIBLE (ON)","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvqqji000304jx0gvc4fu1","cmqh1haw30000zcid4vj7i1yj"
"23","Cheezy Paneer Pizza","Fruits & Vegetables","129","139","7","Qty 1","998","VISIBLE (ON)","pizza, restaurant","cmqhthroi000004jm7qs4w6yg","cmqh1haw30000zcid4vj7i1yj"
"24","Chili Garlic Noodles","Fruits & Vegetables","95","95","0","1 Plate","997","VISIBLE (ON)","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi29esq000104jul11c2g04","cmqh1haw30000zcid4vj7i1yj"
"25","Chili Garlic Rice","Fruits & Vegetables","95","95","0","1 Plate","999","VISIBLE (ON)","rice-dishes, rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, restaurant","cmqjdrdpt000004jsmk69y8tb","cmqh1haw30000zcid4vj7i1yj"
"26","Chili Paneer","Fruits & Vegetables","145","145","0","1 Plate","999","VISIBLE (ON)","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi33m21000004jj1jm44pjh","cmqh1haw30000zcid4vj7i1yj"
"27","Chili Potato","Fruits & Vegetables","95","95","0","1 Plate","996","VISIBLE (ON)","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi2saaw000004l79ak7g2sr","cmqh1haw30000zcid4vj7i1yj"
"28","Choclate","Ice Cream","149","160","7","700 ml","99999","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqvuusry000204ic8kxg6tb7","cmqgzqfv70007vkider7h6e4j"
"29","Choco Brownie Sundae ","Ice Cream","49","50","2","Qty 1","99995","VISIBLE (ON)","ice-cream, as-restaurant","cmqhfy8vg000004jji9091jk7","cmqgzqfv70007vkider7h6e4j"
"30","Choco Delight","Fruits & Vegetables","85","85","0","300 ml","999","VISIBLE (ON)","cold-coffee, cold-coffee, cold coffee, iced coffee, iced-coffee, coldcoffee, shake, shakes, veg, restaurant, restaurant","cmqhzjf0x000004l13sdhh9ws","cmqh1haw30000zcid4vj7i1yj"
"31","Choco Surprise ","Ice Cream","40","40","0","","99999","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmr11hgh0000104jpgkcfbgk0","cmqgzqfv70007vkider7h6e4j"
"32","Chocolate Shake","Fruits & Vegetables","90","90","0","300 ml","999","VISIBLE (ON)","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhztm5k000004jud47mx8o0","cmqh1haw30000zcid4vj7i1yj"
"33","Classic Cold Coffee","Fruits & Vegetables","60","60","0","300ml","990","VISIBLE (ON)","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhykgmz000004jucm99q59h","cmqh1haw30000zcid4vj7i1yj"
