"S.No","Product ID","Product / Dish Name","Outlet / Type","Category Name","Category Slug","Price (₹)","MRP (₹)","Discount (%)","Unit","Stock","Storefront Status","Menu Tags","Restaurant ID","Category ID"
"1","cmqhvntew000104jx1l1oa4q6","Aaloo Masala Sandwitch","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","70","70","0","","99999","ACTIVE (VISIBLE)","sandwiches, sandwich, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"2","cmqhz0yci000304jufb2qkdmn","Blue Lagoon Mojito","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","80","80","0","300 ml","999","ACTIVE (VISIBLE)","mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"3","cmqifvqlc000004jshcp8b9s2","Butter Masala Dosa","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","75","75","0","","99999","ACTIVE (VISIBLE)","south-indian, south indian, dosa, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"4","cmqifxp7m000104js435y9tki","Butter Masala Paneer Dosa","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","90","90","0","","99999","ACTIVE (VISIBLE)","south-indian, south indian, dosa, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"5","cmqifzr6s000204jsul1rpd2c","Butter Paneer Dosa","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","110","110","0","","99999","ACTIVE (VISIBLE)","south-indian, south indian, dosa, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"6","cmqrr3h59000004jybdt8dzx0","Butter Paneer Pav bhaji","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","90","90","0","1 Plate","999","ACTIVE (VISIBLE)","bombay-bites, bombay bites, bombay-bite, bombay bite, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"7","cmqifu59o000j04l461989y9s","Butter Paper Dosa","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","50","50","0","","99999","ACTIVE (VISIBLE)","south-indian, south indian, dosa, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"8","cmqrr1vvz000004ldl3husnlc","Butter Pavbhaji","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","75","75","0","1 Plate","999","ACTIVE (VISIBLE)","bombay-bites, bombay bites, bombay-bite, bombay bite, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"9","cmqhzmodz000104icef59dlgf","Butterscotch Shake","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","85","85","0","300 ml","999","ACTIVE (VISIBLE)","shakes, shake, milkshake, milkshakes, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"10","cmqht67tu000104jmsqnu8acz","Capsicum Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","109","119","8","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"11","cmqigj0ck000204l88l6148ni","Cheeze Baking Pasta","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","135","135","0","","99999","ACTIVE (VISIBLE)","italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"12","cmqhv443d000204ib5occu1ux","Cheeze Burger","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","65","65","0","","99999","ACTIVE (VISIBLE)","burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"13","cmqj7ilwq000004l520l9p1a0","Cheeze Frankie Roll","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","85","85","0","","99999","ACTIVE (VISIBLE)","frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"14","cmqhxu43w000004l8suhk40k1","Cheeze Garlic Bread","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","95","95","0","4 pcs","99999","ACTIVE (VISIBLE)","garlic-bread, garlic bread, garlic-breads, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"15","cmqhvqqji000304jx0gvc4fu1","Cheeze Sandwitch","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","85","85","0","","99999","ACTIVE (VISIBLE)","sandwiches, sandwich, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"16","cmqhthroi000004jm7qs4w6yg","Cheezy Paneer Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","129","139","7","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"17","cmqi29esq000104jul11c2g04","Chili Garlic Noodles","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","95","95","0","","99999","ACTIVE (VISIBLE)","chinese, chinese-cuisine, chinese cuisine, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"18","cmqjdrdpt000004jsmk69y8tb","Chili Garlic Rice","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","95","95","0","","99999","ACTIVE (VISIBLE)","rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"19","cmqi33m21000004jj1jm44pjh","Chili Paneer","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","135","179","25","","99999","ACTIVE (VISIBLE)","chinese, chinese-cuisine, chinese cuisine, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"20","cmqi2saaw000004l79ak7g2sr","Chili Potato","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","85","99","14","","99999","ACTIVE (VISIBLE)","chinese, chinese-cuisine, chinese cuisine, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
