"S.No","Product Name","Type / Outlet","Category","Price (₹)","MRP (₹)","Unit","Stock","Status","Tags","Product ID","Restaurant ID"
"1","Aaloo Masala Sandwitch","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","70","70","Qty 1","999","ACTIVE","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvntew000104jx1l1oa4q6","cms2p1lap0000n0id8alldboy"
"2","American cup ","A.S. Restaurant (as-restaurant)","Ice Cream","29","30","","99999","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmrubmwbl000304laafxtiuwq","cms2p1lap0000n0id8alldboy"
"3","Badam Pista","A.S. Restaurant (as-restaurant)","Ice Cream","49","50","110 ml","99999","HIDDEN","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfj4wg000004i9xdzx7pm6","cms2p1lap0000n0id8alldboy"
"4","Belgium Cone","A.S. Restaurant (as-restaurant)","Ice Cream","49","50","110 ml","0","HIDDEN","ice-cream, desserts, as-restaurant, kulfi, cones","cmr11i5l2000204jppwayex91","cms2p1lap0000n0id8alldboy"
"5","Blue Lagoon Mojito","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","80","80","300 ml","999","ACTIVE","mocktails, mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, restaurant","cmqhz0yci000304jufb2qkdmn","cms2p1lap0000n0id8alldboy"
"6","Butter Masala Dosa","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","75","75","1 Plate","999","ACTIVE","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant","cmqifvqlc000004jshcp8b9s2","cms2p1lap0000n0id8alldboy"
"7","Butter Masala Paneer Dosa","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","90","90","1 Plate","999","ACTIVE","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant","cmqifxp7m000104js435y9tki","cms2p1lap0000n0id8alldboy"
"8","Butter Paneer Dosa","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","110","110","1 Plate","999","ACTIVE","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant","cmqifzr6s000204jsul1rpd2c","cms2p1lap0000n0id8alldboy"
"9","Butter Paneer Pav bhaji","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","90","90","1 Plate","999","ACTIVE","pav-bhaji, pav-bhaji, pav bhaji, pavbhaji, veg, restaurant, restaurant","cmqrr3h59000004jybdt8dzx0","cms2p1lap0000n0id8alldboy"
"10","Butter Paper Dosa","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","50","50","1 Plate","999","ACTIVE","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant","cmqifu59o000j04l461989y9s","cms2p1lap0000n0id8alldboy"
"11","Butter Pavbhaji","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","75","75","1 Plate","998","ACTIVE","pav-bhaji, pav-bhaji, pav bhaji, pavbhaji, veg, restaurant, restaurant","cmqrr1vvz000004ldl3husnlc","cms2p1lap0000n0id8alldboy"
"12","Butterscotch ","A.S. Restaurant (as-restaurant)","Ice Cream","124","125","700 ml","99998","HIDDEN","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg6i2s000004l5rre98dd1","cms2p1lap0000n0id8alldboy"
"13","Butterscotch Cone ","A.S. Restaurant (as-restaurant)","Ice Cream","20","20","","42","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmsfrg5b5000e04l1yyvl0o33","cms2p1lap0000n0id8alldboy"
"14","Butterscotch Shake","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","85","85","300 ml","999","ACTIVE","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhzmodz000104icef59dlgf","cms2p1lap0000n0id8alldboy"
"15","Capsicum Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","109","119","Qty 1","998","ACTIVE","pizza, restaurant","cmqht67tu000104jmsqnu8acz","cms2p1lap0000n0id8alldboy"
"16","Casata","A.S. Restaurant (as-restaurant)","Ice Cream","49","50","Qty 1","0","HIDDEN","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg1ons000104l4fz9uv424","cms2p1lap0000n0id8alldboy"
"17","Chappan Bhog","A.S. Restaurant (as-restaurant)","Ice Cream","149","160","700 ml","0","HIDDEN","ice-cream, desserts, as-restaurant, kulfi, cones","cmqvux86n000404icvt0duoax","cms2p1lap0000n0id8alldboy"
"18","Cheeze Baking Pasta","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","135","135","1 Plate","999","ACTIVE","italian-pasta, italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, restaurant","cmqigj0ck000204l88l6148ni","cms2p1lap0000n0id8alldboy"
"19","Cheeze Burger","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","65","65","Qty 1","999","ACTIVE","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant","cmqhv443d000204ib5occu1ux","cms2p1lap0000n0id8alldboy"
"20","Cheeze Frankie Roll","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","85","85","1 Roll","999","ACTIVE","frankie-rolls, frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, restaurant","cmqj7ilwq000004l520l9p1a0","cms2p1lap0000n0id8alldboy"
"21","Cheeze Garlic Bread","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","95","95","Qty 1 ( 4 pcs)","999","ACTIVE","garlic-bread, garlic-bread, garlic bread, garlic-breads, veg, restaurant, restaurant","cmqhxu43w000004l8suhk40k1","cms2p1lap0000n0id8alldboy"
"22","Cheeze Sandwitch","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","85","85","Qty 1","999","ACTIVE","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvqqji000304jx0gvc4fu1","cms2p1lap0000n0id8alldboy"
"23","Cheezy Paneer Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","129","139","Qty 1","998","ACTIVE","pizza, restaurant","cmqhthroi000004jm7qs4w6yg","cms2p1lap0000n0id8alldboy"
"24","Chili Garlic Noodles","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","95","95","1 Plate","997","ACTIVE","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi29esq000104jul11c2g04","cms2p1lap0000n0id8alldboy"
"25","Chili Garlic Rice","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","95","95","1 Plate","999","ACTIVE","rice-dishes, rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, restaurant","cmqjdrdpt000004jsmk69y8tb","cms2p1lap0000n0id8alldboy"
"26","Chili Paneer","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","145","145","1 Plate","999","ACTIVE","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi33m21000004jj1jm44pjh","cms2p1lap0000n0id8alldboy"
"27","Chili Potato","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","95","95","1 Plate","996","ACTIVE","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi2saaw000004l79ak7g2sr","cms2p1lap0000n0id8alldboy"
"28","Choclate","A.S. Restaurant (as-restaurant)","Ice Cream","149","160","700 ml","99999","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmqvuusry000204ic8kxg6tb7","cms2p1lap0000n0id8alldboy"
"29","Choco Brownie Sundae ","A.S. Restaurant (as-restaurant)","Ice Cream","49","50","Qty 1","99995","ACTIVE","ice-cream, as-restaurant","cmqhfy8vg000004jji9091jk7","cms2p1lap0000n0id8alldboy"
"30","Choco Delight","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","85","85","300 ml","999","ACTIVE","cold-coffee, cold-coffee, cold coffee, iced coffee, iced-coffee, coldcoffee, shake, shakes, veg, restaurant, restaurant","cmqhzjf0x000004l13sdhh9ws","cms2p1lap0000n0id8alldboy"
"31","Choco Surprise ","A.S. Restaurant (as-restaurant)","Ice Cream","40","40","","99999","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmr11hgh0000104jpgkcfbgk0","cms2p1lap0000n0id8alldboy"
"32","Chocolate Shake","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","90","90","300 ml","999","ACTIVE","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhztm5k000004jud47mx8o0","cms2p1lap0000n0id8alldboy"
"33","Classic Cold Coffee","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","60","60","300ml","990","ACTIVE","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhykgmz000004jucm99q59h","cms2p1lap0000n0id8alldboy"
"34","Cookie Chips","A.S. Restaurant (as-restaurant)","Ice Cream","39","40","110 ml","0","HIDDEN","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfoca3000004kzzeo89uce","cms2p1lap0000n0id8alldboy"
"35","Corn Cheeze Burger","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","80","80","Qty 1","999","ACTIVE","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant","cmqhv7a50000104jxa8x5anbw","cms2p1lap0000n0id8alldboy"
"36","Corn Cheeze Garlic Bread","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","105","105","Qty 1 (4 Pcs)","999","ACTIVE","garlic-bread, garlic-bread, garlic bread, garlic-breads, veg, restaurant, restaurant","cmqhxvnfr000004jxq2npqa3s","cms2p1lap0000n0id8alldboy"
"37","Corn Cheeze Sandwitch","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","90","90","Qty 1","999","ACTIVE","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvw0f8000104i8i4549ujo","cms2p1lap0000n0id8alldboy"
"38","Desi Style Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","129","139","Qty 1","999","ACTIVE","pizza, restaurant","cmqhtemk7000004i6oc8bc5ee","cms2p1lap0000n0id8alldboy"
