Category ID,Name,Slug,Sort Order,Product Count
"cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables",1,33
"cmqh1hc4i0006zcid2ffpvlkf","Grocery Essentials","grocery-essential",2,21
"cmsfuzs73000404l7q139nk61","Kitchen Needs (Atta, Rice, Dal, Oil)","kitchen-needs",3,19
"cmqh1hb920002zcidoywpi240","Snacks & Munchies","snacks-munchies",4,42
"cmsfxcpjo000x04k1psk49ka9","Instant Foods & Maggi","instant-foods",5,18
"cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages",6,14
"cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream",7,26
"cmseowmy7000004i562szts34","Chocolates & Sweets","chocolates",8,20
"cmqh1hbyc0005zcidr45bj1ac","Bakery & Biscuits","bakery",9,8
"cmsf2uvmq000304i63rhxdikk","Dry Fruits & Superfoods","dry-fruits-superfoods",10,0
"cmqh1hblj0003zcidm9gq5net","Personal Care & Hygiene","personal-care",11,14
"cmrv2psby000004ldl25xjrlt","Home Needs & Cleaning","home-needs-and-cleaning",12,16
"cmt59fuss0000tgidoc35458x","Fast Food & Restaurant Kitchen","restaurant-food",99,239
