Product ID,Product Name,Category ID,Category Name,Category Slug,Outlet / Restaurant,Price (Rs),MRP (Rs),Discount (%),Unit,Stock,Is Available,Is Flash Deal,Is Best Seller,Tags,Image URL
"cmrubmwbl000304laafxtiuwq","American cup","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",29,30,3,"1 Serving",99999,YES,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554763/iw6pahmjeroijdzlixob.png"
"cmqhfj4wg000004i9xdzx7pm6","Badam Pista","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",49,50,2,"110 ml",99999,NO,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554697/mbwlq0xwyjpubac47yv2.png"
"cmr11i5l2000204jppwayex91","Belgium Cone","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",49,50,2,"110 ml",0,NO,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554636/cwh0qrqfwofsmtxsrvdj.png"
"cmqhg6i2s000004l5rre98dd1","Butterscotch","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",124,125,1,"700 ml",99998,NO,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554584/iuigk2lx9mk3lhr0lryi.png"
"cmsfrg5b5000e04l1yyvl0o33","Butterscotch Cone","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",20,20,0,"1 Serving",42,YES,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785914588/tsuqnjtwrwcntoc30g40.png"
"cmqhg1ons000104l4fz9uv424","Casata","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",49,50,2,"Qty 1",0,NO,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554582/abx64jvvmare8n9bagd2.png"
"cmqvux86n000404icvt0duoax","Chappan Bhog","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",149,160,7,"700 ml",0,NO,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554744/lbh6odzuhb6y5ekabz4b.png"
"cmqvuusry000204ic8kxg6tb7","Choclate","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",149,160,7,"700 ml",99999,YES,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554743/ihrwpvlngx4bfug1mliy.png"
"cmqhfy8vg000004jji9091jk7","Choco Brownie Sundae","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",49,50,2,"Qty 1",99995,YES,NO,NO,"ice-cream, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554611/oz1hzeieyoojrjj47rbu.png"
"cmr11hgh0000104jpgkcfbgk0","Choco Surprise","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",40,40,0,"1 Serving",99999,YES,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554776/qqxm3djh2ulneii1usbc.png"
