Product ID,Name,Price (₹),MRP (₹),Unit,Assigned Restaurant / Outlet (Type: Grocery / Wedson Restaurant / A.S. Restaurant / Bal Udyan Restaurant),Category Name,Tags,Stock Qty,Is Available (TRUE/FALSE)
cmrubmwbl000304laafxtiuwq,"American cup ",29,30,"1 Pc","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99999,TRUE
cmqhfj4wg000004i9xdzx7pm6,"Badam Pista",49,50,"110 ml","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99999,FALSE
cmr11i5l2000204jppwayex91,"Belgium Cone",49,50,"110 ml","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",0,FALSE
cmqhg6i2s000004l5rre98dd1,"Butterscotch ",124,125,"700 ml","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99998,FALSE
cmsfrg5b5000e04l1yyvl0o33,"Butterscotch Cone ",20,20,"1 Pc","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",42,TRUE
cmqhg1ons000104l4fz9uv424,"Casata",49,50,"Qty 1","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",0,FALSE
cmqvux86n000404icvt0duoax,"Chappan Bhog",149,160,"700 ml","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",0,FALSE
cmqvuusry000204ic8kxg6tb7,"Choclate",149,160,"700 ml","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99999,TRUE
cmqhfy8vg000004jji9091jk7,"Choco Brownie Sundae ",49,50,"Qty 1","Grocery / Kirana","Ice Cream","ice-cream, as-restaurant",99995,TRUE
cmr11hgh0000104jpgkcfbgk0,"Choco Surprise ",40,40,"1 Pc","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99999,TRUE
cmqhfd92t000204kz2rasvwig,"Chocolate  Cone",35,35,"1 Serving","Grocery / Kirana","Ice Cream","desserts, desserts, ice-cream, ice cream, kulfi, dessert, sweet, veg, restaurant, restaurant",1998,TRUE
cmqhfoca3000004kzzeo89uce,"Cookie Chips",39,40,"110 ml","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",0,FALSE
cmqvta0yb000104ic3hvrzjni,"Kruchy Twist",29,30,"1 Pc","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99995,TRUE
cmqhfxac2000204l4ncrzkkq4,"Matka Kulfi",59,60,"Qty 1","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99996,TRUE
cmqhfu37r000004l4u8tx2von,"MaxYum Almond ",49,50,"Qty 1","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99999,TRUE
cmseypfxd000804laak2p1cgx,"Namaste India Choclate Cookies",40,40,"6","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant",5,TRUE
cmqhfr6fb000004l5gs8c9bsg,"Red Velvet ",29,30,"Qty 1","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99999,TRUE
cmqhfvjgq000104l4jzjyxrur,"Shahi Mewa Kulfi",29,30,"Qty 1","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99996,TRUE
cmqhg9l74000004i9nnt8lhxb,"Shahi Tukda",97,99,"250 ml","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",0,FALSE
cmqhg55jp000304l47x2ncvoz,"Strawberry ",124,125,"700 ml","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99999,FALSE
cmqhfzomx000004l4urg5mgm7,"Strawberry Sundae ",39,40,"Qty 1","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",0,TRUE
cmqhfyxnn000104jjkijr9vrp,"Super Duper Sundae ",39,40,"Qty 1","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",0,TRUE
cmqhg0k8u000004l4kdo9ugla,"Trixy Brownie ",29,30,"Qty 1","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",0,FALSE
cmqhg5x4m000404l40ial07dy,"Tuti Frutti",172,175,"700 ml","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99998,FALSE
cmqhg46kk000204l4en3571ef,"Vanilla",99,100,"700 ml","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99999,FALSE
cmrubrdye000004jrq5gxgmkp,"Vanilla cup",19,20,"1 Pc","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",99997,TRUE
cmqhzcr2l000004icn0x4ex75,"Vanilla Dream",85,85,"300 ml","Grocery / Kirana","Ice Cream","cold-coffee, cold-coffee, cold coffee, iced coffee, iced-coffee, coldcoffee, shake, shakes, veg, restaurant, restaurant",999,TRUE
cmqhfpzwg000104kzm5mvvtfb,"Waaah Aam",29,30,"Qty 1","Grocery / Kirana","Ice Cream","ice-cream, desserts, as-restaurant, kulfi, cones",0,TRUE
cmqheox3i000504kz4kdyx8cs,"Campa",20,20,"500 ml","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",999,TRUE
cmqhem3yg000304kza2tpu1ba,"Dew",20,20,"400 ml","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",999,TRUE
cmqhe6s0o000004kzr37pdot9,"Diet Coke",29,30,"1 Can","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",0,TRUE
cmqhe7hqy000104kzdhz09g0l,"Energy Campa",29,30,"1 Can","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",99999,FALSE
cmqhe8e1i000204kzn7a5rs4n,"Hell",58,60,"1 Can","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",999,TRUE
cmqheu2kc000004kzr9v5aq82,"Maaza",49,50,"1 L","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",999,TRUE
cmqheze1i000004kzr09pr2dn,"Mineral Water",18,20,"1 L","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",999,TRUE
cmqhemxbd000404kzqufrnq4r,"Pepsi ",20,20,"400 ml","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",998,TRUE
cmqtenvc8000104lbqimtdi3k,"Real Activ Coconut Water",119,178,"1 litre","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",999,TRUE
cmqtevf5f000005jogeuk28q5,"Real Fruit Power Masala Mixed Fruit",119,150,"1 litre","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",999,TRUE
cmrjn0rdo000104jlx8mdm34e,"Red Bull",119,125,"250 ml","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",999,TRUE
cmqhehn8z000004jsfdy91wjy,"Sprite ",20,20,"250 ml","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",999,TRUE
cmqhejcye000004kz09h2u7bt,"Thumsup",49,50,"1 L","Grocery / Kirana","Beverages","beverages, as-restaurant, chilled, drinks, soft-drink, grocery",998,TRUE
cmqhvntew000104jx1l1oa4q6,"Aaloo Masala Sandwitch",70,70,"Qty 1","A.S. Restaurant","Fruits & Vegetables","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant",999,TRUE
cmsegha5e000g04kzrtvv6dg6,"Achari Paneer Tikka ",220,220,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","tandoori-nawab-nawab, restaurant",999,TRUE
cmrmyymkv000304jptvgw7yjq,"Afghani Paneer Tikka",269,269,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, tandoori-nawab-nawab",999,TRUE
cmsegd9n2000h04ldaku65c19,"Afghani Paneer Tikka ",249,249,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","tandoori-nawab-nawab, restaurant",999,TRUE
cmse8e1gh000704jwdsg3ex00,"Aloo Kulcha",55,55,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","roti-naan-kulcha, restaurant",999,TRUE
cmsdlda0u000404ky6qalxjv3,"Aloo Paratha ",80,80,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","breakfast, restaurant",999,TRUE
